month_date_yyyymm,county_fips,county_name,median_listing_price
201708,34033,"salem, nj",124250
201708,34037,"sussex, nj",235000
201708,34001,"atlantic, nj",239450
201708,34005,"burlington, nj",224900
201708,34025,"monmouth, nj",479450
201707,34005,"burlington, nj",224900
201707,34027,"morris, nj",539000
201707,34025,"monmouth, nj",485000
201707,34013,"essex, nj",360000
201707,34035,"somerset, nj",574900
201707,34009,"cape may, nj",384500
201707,34015,"gloucester, nj",196500
201707,34033,"salem, nj",128500
201707,34037,"sussex, nj",239800
201707,34041,"warren, nj",242000
201707,34001,"atlantic, nj",239000
201707,34023,"middlesex, nj",359000
201707,34017,"hudson, nj",475000
201707,34039,"union, nj",334900
201707,34003,"bergen, nj",599900
201707,34019,"hunterdon, nj",469000
201707,34011,"cumberland, nj",139900
201707,34031,"passaic, nj",335999
201707,34029,"ocean, nj",315000
201707,34021,"mercer, nj",299999
201707,34007,"camden, nj",169000
201706,34015,"gloucester, nj",194950
201706,34017,"hudson, nj",483000
201706,34013,"essex, nj",375000
201706,34031,"passaic, nj",329944
201706,34025,"monmouth, nj",487000
201706,34011,"cumberland, nj",139900
201706,34019,"hunterdon, nj",469900
201706,34027,"morris, nj",533450
201706,34033,"salem, nj",129000
201706,34021,"mercer, nj",299450
201706,34041,"warren, nj",244950
201706,34029,"ocean, nj",317000
201706,34003,"bergen, nj",599900
201706,34005,"burlington, nj",220000
201706,34023,"middlesex, nj",355000
201706,34007,"camden, nj",169450
201706,34037,"sussex, nj",229975
201706,34039,"union, nj",339500
201706,34009,"cape may, nj",389700
201706,34035,"somerset, nj",579000
201706,34001,"atlantic, nj",238500
201705,34019,"hunterdon, nj",470000
201705,34001,"atlantic, nj",235250
201705,34039,"union, nj",336950
201705,34035,"somerset, nj",574950
201705,34033,"salem, nj",129900
201705,34025,"monmouth, nj",489450
201705,34015,"gloucester, nj",193000
201705,34041,"warren, nj",239900
201705,34005,"burlington, nj",217450
201705,34017,"hudson, nj",459950
201705,34029,"ocean, nj",314750
201705,34011,"cumberland, nj",139900
201705,34027,"morris, nj",525000
201705,34009,"cape may, nj",388950
201705,34007,"camden, nj",167450
201705,34021,"mercer, nj",298950
201705,34023,"middlesex, nj",352500
201705,34013,"essex, nj",377000
201705,34003,"bergen, nj",611950
201705,34037,"sussex, nj",229900
201705,34031,"passaic, nj",319950
201704,34037,"sussex, nj",225000
201704,34027,"morris, nj",519900
201704,34023,"middlesex, nj",349900
201704,34033,"salem, nj",119900
201704,34029,"ocean, nj",309900
201704,34003,"bergen, nj",599999
201704,34015,"gloucester, nj",189900
201704,34025,"monmouth, nj",479000
201704,34013,"essex, nj",354350
201704,34041,"warren, nj",229900
201704,34031,"passaic, nj",319900
201704,34021,"mercer, nj",279900
201704,34007,"camden, nj",164999
201704,34017,"hudson, nj",435000
201704,34005,"burlington, nj",205000
